"Prioridad","Negocio","Rubro","País","Email público","Teléfono público","Enlace de contacto","Ciudad / zona","Continente","Idioma sugerido","Qué ofrecer (hipótesis)","Situación web","Observación y validación pendiente","Alcance de revisión","Fuente consultada el","Estado contacto","Último contacto","Próximo seguimiento","Notas de seguimiento","ID","Fuente pública principal","Fuente complementaria"
"Alta","RoadDogs","Peluquería canina móvil","Sudáfrica","info.roaddogs@gmail.com","+27 84 2394264","mailto:info.roaddogs@gmail.com","Ciudad del Cabo","África","Inglés","Formulario de cotización por zona, mascota y servicio.","Web propia consultada","Cotiza según tamaño del perro y servicio; recibe consultas por email, llamada y WhatsApp.","Página consultada","2026-09-23","No contactado","","","","GL-045","https://roaddogs.co.za/",""
"Media","Te De Jazmín Cba","Tienda / regalos (confirmar)","Argentina","tedejazmin.cba@gmail.com","0351 661-5373","mailto:tedejazmin.cba@gmail.com","Córdoba","América","Español","Corregir y validar el rubro antes de vender.","Contacto y nombre reconsultados; rubro y web por confirmar.","El directorio mantiene dirección y email, pero no describe con precisión el rubro. Confirmar oferta actual antes de armar catálogo.","Índice de directorio","2026-09-23","No contactado","","","","GL-001","https://ar.todosnegocios.com/te-de-jazm-u-edn-cba-0351-661-5373",""
"Media","CommandaPro Auto Detailing","Detailing / revestimiento cerámico","Australia","christopher@commandaproautodetailing.com.au","+61 431 009492","mailto:christopher@commandaproautodetailing.com.au","Melbourne","Oceanía","Inglés","Revisar captación de consultas de tratamientos premium.","Web encontrada; apertura limitada","El contacto indexado dice que atiende el propio detailer y ya tiene reservas online.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-064","https://commandaproautodetailing.com.au/contact",""
"Media","Honest Shine","Estética automotor móvil","Australia","hello@honestshine.com.au","+61 448 842105","mailto:hello@honestshine.com.au","Melbourne","Oceanía","Inglés","Cotización con suburbio, vehículo y fotos.","Web encontrada; apertura limitada","La página indexada pide esos datos por SMS; validar si desean centralizar consultas en un formulario.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-063","https://honestshine.com.au/contact.html",""
"Media","MundoFitness","Entrenamiento deportivo","Chile","contactomundofitness@gmail.com","+56 9 4562 8807","mailto:contactomundofitness@gmail.com","Santiago","América","Español","Página de clases y consultas para nuevas inscripciones.","Directorio con Facebook; web propia por confirmar.","El perfil de Santiago publica entrenamiento, dirección en Alameda 494, teléfono y correo. Confirmar clases y cupos vigentes.","Índice de directorio","2026-09-23","No contactado","","","","GL-008","https://www.infostgo.cl/id/2995-mundofitness","https://cl.todosnegocios.com/mundofitness-9-4562-8807"
"Media","Hago Ballenas","Cerámica / talleres","España","hagoballenas@gmail.com","+34 641 231 130","mailto:hagoballenas@gmail.com","Madrid","Europa","Español","Inscripción por taller, fecha y número de asistentes.","Web propia consultada","Publica talleres, dirección y formulario general de contacto.","Página consultada","2026-09-23","No contactado","","","","GL-034","https://www.hagoballenas.es/contacto/",""
"Media","Purple Turtle Fiji","Centro de buceo","Fiyi","denaraudiving@purpleturtlefiji.com","+679 7729463","mailto:denaraudiving@purpleturtlefiji.com","Denarau, Nadi","Oceanía","Inglés","Página de cursos y consulta de salidas para visitantes.","Web propia pendiente de revisar","La asociación hotelera lo presenta como centro operado por su dueño. Revisar su web antes de cotizar.","Página consultada","2026-09-23","No contactado","","","","GL-068","https://fhta.com.fj/business/purple-turtle-fiji/",""
"Media","Subsurface Fiji","Centro de buceo","Fiyi","info@subsurfacefiji.com","+679 9996371","mailto:info@subsurfacefiji.com","Malolo Lailai","Oceanía","Inglés","Revisar consultas por fecha, experiencia y curso.","Web propia consultada","La página distingue reservas dentro de 48 horas por WhatsApp; ya tiene formulario.","Página consultada","2026-09-23","No contactado","","","","GL-067","https://fijidiving.com/contact-us/",""
"Media","Menthe Sauvage","Diseño floral / bodas","Francia","contact@menthesauvage.fr","+33 6 64 93 33 73","mailto:contact@menthesauvage.fr","Lyon / Rhône-Alpes","Europa","Francés o inglés","Página de proyectos y consulta por fecha, lugar y presupuesto.","Web propia consultada","Ofrece diseño floral para bodas y atiende también en inglés.","Página consultada","2026-09-23","No contactado","","","","GL-036","https://menthesauvage.fr/contact",""
"Media","Virginie P Fleuriste","Florería / talleres","Francia","virginiepondarrepro@gmail.com","+33 9 53 94 73 92","mailto:virginiepondarrepro@gmail.com","Lyon","Europa","Francés","Revisar contacto e inscripción de talleres privados.","Web propia consultada","Presenta talleres de 1 h 30 y email público; comprobar el destino del enlace de correo antes de proponer un arreglo.","Página consultada","2026-09-23","No contactado","","","","GL-035","https://www.virginiepfleuriste.fr/ateliers-floraux-prives/",""
"Media","Dansah Made It","Muebles a medida","Ghana","contact@dansahmadeit.com","+233 500 722175","mailto:contact@dansahmadeit.com","Accra","África","Inglés","Ofrecer apoyo puntual para lanzar la tienda anunciada.","Web propia consultada","La web anuncia una tienda próxima a abrir y ya tiene cotizador. Puede tener proveedor contratado.","Página consultada","2026-09-23","No contactado","","","","GL-049","https://dansahmadeit.com/",""
"Media","Block Print Company","Textiles / decoración","India","info@blockprintcompany.com","+91 8003050264","mailto:info@blockprintcompany.com","Jaipur","Asia","Inglés","Catálogo mayorista con consulta por producto y cantidad.","Web propia consultada","Publica textiles estampados y productos de decoración con contacto de su taller.","Página consultada","2026-09-23","No contactado","","","","GL-053","https://blockprintcompany.com/index.php/contact",""
"Media","27 Surf School Bali","Escuela de surf","Indonesia","surfinginkuta@gmail.com","+62 812 39802650","mailto:surfinginkuta@gmail.com","Kuta, Bali","Asia","Inglés","Consulta de clases por nivel, grupo y día de la visita.","Web propia consultada","Ofrece clases para distintos niveles y publica email y WhatsApp.","Página consultada","2026-09-23","No contactado","","","","GL-062","https://27surfbali.com/",""
"Media","Alfredo Cooking Class","Escuela de cocina","Italia","alfredocookingclass@gmail.com","+39 377 3646252","mailto:alfredocookingclass@gmail.com","Florencia","Europa","Italiano o inglés","Página para grupos privados y consultas de eventos.","Web propia consultada","La escuela ofrece experiencias culinarias para parejas, familias y grupos.","Página consultada","2026-09-23","No contactado","","","","GL-037","https://www.alfredocookingclass.com/en/school",""
"Media","DESINARE","Cocina / catering","Italia","info@desinare.it","+39 055 221118","mailto:info@desinare.it","Florencia","Europa","Italiano o inglés","Separar solicitudes de cursos y presupuestos de catering.","Web encontrada; apertura limitada","La página indexada publica correos distintos para cursos y eventos; confirmar quién gestiona la web.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-038","https://www.desinare.it/en/contact-us",""
"Media","Cakeaholic Bakers","Pastelería personalizada","Kenia","hello@cakeaholic.co.ke","+254 725 751458","mailto:hello@cakeaholic.co.ke","Nairobi","África","Inglés","Revisar consulta de tortas por evento y antelación.","Web encontrada; apertura limitada","La página indexada ya muestra catálogo, formulario y WhatsApp. Validar una necesidad antes de cotizar.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-048","https://www.cakeaholic.co.ke/contact",""
"Media","Happy Cakes Bakery","Pastelería personalizada","Kenia","orders@happycakesbakery.co.ke","+254 793 544431","mailto:orders@happycakesbakery.co.ke","Nairobi","África","Inglés","Revisar pedidos especiales por fecha, porciones y diseño.","Web encontrada; apertura limitada","La tienda indexada ofrece tortas personalizadas y pedidos por WhatsApp; apertura directa limitada.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-047","https://happycakesbakery.co.ke/shop/",""
"Media","Ryad Marrakech","Alojamiento / riad","Marruecos","contact@ryad-marrakech.com","+212 661 300834","mailto:contact@ryad-marrakech.com","Marrakech","África","Francés o inglés","Revisar recorrido de consulta y reservas por idioma.","Web propia consultada","Publica alojamiento con piscina, servicios y contacto de reservas.","Página consultada","2026-09-23","No contactado","","","","GL-043","https://www.ryad-marrakech.com/en/contact-us/",""
"Media","Cell y PC","Reparación de celulares y PC","México","contacto@cellypc.com","+52 33 15252819","mailto:contacto@cellypc.com","Guadalajara","América","Español","Ordenar consultas de reparación por equipo y falla.","Dominio del correo pendiente; enlace WhatsApp incompleto.","La ficha enlaza api.whatsapp.com/send sin destino visible en la apertura. Usar email y pedir su web actual; no afirmar que carece de sitio.","Directorio consultado","2026-09-23","No contactado","","","","GL-018","https://www.allbiz.mx/cell-y-pc_1K-33-1525-2819",""
"Media","Costuras Citrus","Uniformes / arreglos","México","facturacion.citrus@hotmail.com","+52 33 15375347","mailto:facturacion.citrus@hotmail.com","Guadalajara","América","Español","Catálogo para cotizar uniformes por cantidad.","Uniformes y Facebook publicados; web por confirmar.","La ficha describe uniformes, mandiles, filipinas y gorros. El correo es de facturación: pedir el canal adecuado para propuestas.","Índice de directorio","2026-09-23","No contactado","","","","GL-017","https://www.allbiz.mx/costuras-citrus-33-1537-5347",""
"Media","Handmade Handicraft","Artesanías","Nepal","info@handmadehandicraft.com","+977 1 5364660","mailto:info@handmadehandicraft.com","Kathmandu","Asia","Inglés","Catálogo por colección y consultas de exportación.","Web encontrada; apertura limitada","La página indexada publica tienda en Thamel y email; apertura directa con verificación anti-bot.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-055","https://handmadehandicraft.com/contact-us/",""
"Media","Kathmandu Handmade","Artesanías / tienda online","Nepal","kathmanduhandmade@gmail.com","+977 9802342656","mailto:kathmanduhandmade@gmail.com","Bhaktapur","Asia","Inglés","Revisar páginas de productos y consultas para distribuidores.","Web propia consultada","La página se identifica como negocio online y enlaza puntos de venta.","Página consultada","2026-09-23","No contactado","","","","GL-056","https://www.kathmanduhandmade.com/contact/",""
"Media","Topline Tailors","Sastrería / arreglos","Nueva Zelanda","info@toplinetailors.co.nz","+64 4 3846567","mailto:info@toplinetailors.co.nz","Wellington","Oceanía","Inglés","Diferenciar sedes y cotizar arreglos con fotos.","Web propia consultada","La página publica dos sedes y un email común para consultas.","Página consultada","2026-09-23","No contactado","","","","GL-065","https://toplinetailors.co.nz/contact/",""
"Media","El Hormiguero Paraguay","Organización de eventos","Paraguay","elhormigueropy@gmail.com","+595 981 876153","mailto:elhormigueropy@gmail.com","Asunción","América","Español","Confirmar actividad y ordenar reservas o talleres.","Sin sitio propio declarado en la fuente consultada.","El directorio lo clasifica como organización de convenciones y exposiciones. Confirmar si alquila espacios o produce eventos.","Índice de directorio","2026-09-23","No contactado","","","","GL-006","https://paraguay.worldplaces.me/es/review/93873335-el-hormiguero-paraguay.html","https://py.todosnegocios.com/el-hormiguero-paraguay-0981-876153"
"Media","El Pye","Cafetería / panadería","Perú","elpyecafe@gmail.com","+51 999 222575","mailto:elpyecafe@gmail.com","Lima","América","Español","Carta visual y enlace único para pedidos.","Directorio con redes; web propia por confirmar.","El directorio identifica cafetería y panadería en Casapalca 1669 y publica el correo. Confirmar modalidad de pedidos.","Índice de directorio","2026-09-23","No contactado","","","","GL-009","https://pe.todosnegocios.com/el-pye-999-222-575",""
"Media","Mirandesa Guesthouse","Alojamiento","Portugal","mirandesaguesthouse@gmail.com","+351 225 377 727","mailto:mirandesaguesthouse@gmail.com","Porto","Europa","Portugués o inglés","Página bilingüe con habitaciones, ubicación y consulta de fechas.","Web propia pendiente de revisar","El portal turístico municipal publica habitaciones y contacto. Confirmar cuál es su web vigente.","Página consultada","2026-09-23","No contactado","","","","GL-040","https://visitporto.travel/en-GB/poi/5cd04b44f979e00001d9a7bb",""
"Media","Porta Azul Guesthouse","Alojamiento","Portugal","portaazul204@gmail.com","+351 224 037 706","mailto:portaazul204@gmail.com","Porto","Europa","Portugués o inglés","Presentación de habitaciones y solicitud de reserva directa.","Web propia pendiente de revisar","Turismo de Portugal publica contacto y una web; el sitio del alojamiento requiere revisión.","Página consultada","2026-09-23","No contactado","","","","GL-039","https://www.visitportugal.com/en/node/336093",""
"Media","Boing Bicycles","Reparación móvil de bicicletas","Reino Unido","sales@boingbicycles.com","+44 117 3620212","mailto:sales@boingbicycles.com","Bristol","Europa","Inglés","Ordenar cobertura y consulta de reparación a domicilio.","Web propia consultada","La página consultada está en Wix y ofrece servicio móvil; confirmar dominio y zonas vigentes.","Página consultada","2026-09-23","No contactado","","","","GL-042","https://boingbicycles.wixsite.com/boingbicycles",""
"Media","Jaymy's Beach Fales","Alojamiento / actividades","Samoa","jaymybeachfales@gmail.com","+685 7581109","mailto:jaymybeachfales@gmail.com","Saleapaga, Upolu","Oceanía","Inglés","Presentar tipos de alojamiento, actividades y consulta de fechas.","Web propia pendiente de revisar","El portal turístico describe fales abiertos y cerrados, comidas y actividades culturales.","Página consultada","2026-09-23","No contactado","","","","GL-070","https://www.samoa.travel/plan-book/samoa-accommodation/jaymys-beach-fales/",""
"Media","Namu'a Island Beach Fales","Alojamiento / turismo","Samoa","namuaislandbeachfales@gmail.com","+685 7588209","mailto:namuaislandbeachfales@gmail.com","Isla Namu'a, Upolu","Oceanía","Inglés","Página con alojamiento, traslado en barco y consulta de fechas.","Web propia pendiente de revisar","El portal turístico publica alojamiento y recogida en barco; confirmar web y operativa actuales.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-069","https://www.samoa.travel/plan-book/samoa-accommodation/namua-island-beach-fales/",""
"Media","Galle Cooking Class","Clases de cocina","Sri Lanka","info@gallecookingclass.com","+94 77 3478160","mailto:info@gallecookingclass.com","Talpe, Galle","Asia","Inglés","Consulta de clase por fecha, asistentes y preferencias alimentarias.","Web propia consultada","Ofrece experiencias de cocina; el formulario de contacto es general.","Página consultada","2026-09-23","No contactado","","","","GL-057","https://gallecookingclass.com/contact-us/",""
"Media","Doggie Land Group","Peluquería de mascotas","Sudáfrica","info@doggielandgroup.co.za","+27 72 2169075","mailto:info@doggielandgroup.co.za","Ciudad del Cabo","África","Inglés","Diferenciar turnos en local y atención a domicilio.","Web propia consultada","Empresa familiar con salón y servicio móvil; publica WhatsApp para reservar.","Página consultada","2026-09-23","No contactado","","","","GL-046","https://doggielandgroup.co.za/",""
"Media","Raptor Safari & Tours","Agencia de safaris","Tanzania","info@raptorsafariandtours.co.tz","+255 762 550932","mailto:info@raptorsafariandtours.co.tz","Arusha","África","Inglés","Revisar claridad del formulario de viaje y contenido por idioma.","Web encontrada; apertura limitada","La página indexada ya pide fechas y pasajeros; ofrecer revisión puntual, no reconstrucción sin diagnóstico.","Índice web; apertura limitada","2026-09-23","No contactado","","","","GL-051","https://raptorsafariandtours.co.tz/index.php/contact-us/",""
"Media","Wild Tanzania Safaris","Agencia de safaris","Tanzania","info@wild-tanzania-safaris.com","+255 787 394094","mailto:info@wild-tanzania-safaris.com","Arusha","África","Inglés","Agregar fechas, viajeros y preferencias a la consulta.","Web propia consultada","El formulario consultado pide datos personales, paquete y mensaje libre.","Página consultada","2026-09-23","No contactado","","","","GL-052","https://wild-tanzania-safaris.com/tour/booking",""
"Media","Sammy's Port Vila Tours & Transfers","Excursiones / traslados","Vanuatu","info@sammystours.com","+678 7309638","mailto:info@sammystours.com","Port Vila","Oceanía","Inglés","Organizar consultas según crucero, vuelo o excursión.","Web propia consultada","Operador familiar con tours y traslados; publica WhatsApp y email.","Página consultada","2026-09-23","No contactado","","","","GL-072","https://www.sammystours.com/",""
"Media","South Pacific Tours Vanuatu","Excursiones / traslados","Vanuatu","sptvila@melanesian.com.vu","+678 26559","mailto:sptvila@melanesian.com.vu","Port Vila","Oceanía","Inglés","Consulta de itinerario con fecha, pasajeros y recogida.","Web propia consultada","La web ofrece transporte privado, guías y excursiones, con contacto por email.","Página consultada","2026-09-23","No contactado","","","","GL-071","https://www.southpacifictoursvanuatu.com/en/",""
"Media","Linh Tailor Hoi An","Sastrería a medida","Vietnam","linhtailorhoian@gmail.com","+84 79 6779993","mailto:linhtailorhoian@gmail.com","Hoi An","Asia","Inglés","Organizar solicitudes por prenda, fecha de visita y referencias.","Web propia consultada","La web presenta prendas a medida y contacto por WhatsApp y correo.","Página consultada","2026-09-23","No contactado","","","","GL-060","https://linhtailor.com/",""
"Media","WIN Custom Tailor","Sastrería a medida","Vietnam","wincustomtailor@gmail.com","+84 90 5984436","mailto:wincustomtailor@gmail.com","Hoi An","Asia","Inglés","Página de consultas para bodas o grupos de viajeros.","Web propia consultada","Ya ofrece citas y WhatsApp; explorar una campaña concreta antes de proponer cambios.","Página consultada","2026-09-23","No contactado","","","","GL-059","https://www.hoiantailor.com/",""
"Revalidar","El Ceibo","Vivero / jardinería","Argentina","viveroelceibo@hotmail.com","+54 351 462-1813 / +54 351 305-1410","mailto:viveroelceibo@hotmail.com","Córdoba","América","Español","Catálogo estacional del vivero con consultas.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: El Ceibo de Vélez Sarsfield, Córdoba, figura como vivero en directorios que coinciden en el teléfono. No encontré una web propia asociada de forma segura a esta sucursal. Hay viveros homónimos con sitio: no deben atribuirse al negocio sin cruzar datos.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-002","https://www.guiaurbana.com.ar/empresas/el-ceibo-cordoba","https://ar.todosnegocios.com/el-ceibo_7i-0351-462-1813"
"Revalidar","Boutique on Line Sin Secretos","Boutique de indumentaria","Bolivia","gabymor_63@hotmail.com","+591 73266896","mailto:gabymor_63@hotmail.com","La Paz","América","Español","Validar identidad; después, catálogo por colección.","Base 10/09: Sin web confirmada; identidad por validar","Revisión del 10/09/2026: Boutique on Line Sin Secretos aparece con teléfono, email y Facebook. Otra fuente muestra dirección y teléfono diferentes para un nombre similar. No pude resolver si se trata de mudanza, cambio de contacto u otro comercio. Tampoco se confirmó una web actual.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-011","https://bo.todosnegocios.com/boutique-on-line-sin-secretos-73266896",""
"Revalidar","INFINITO soluciones informáticas","Reparación informática","Bolivia","—","+591 2 2201930","tel:+59122201930","La Paz","América","Español","Consultas técnicas mejor detalladas.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: INFINITO soluciones informáticas figura con reparación de computadoras e impresoras y recarga de tinta. El directorio muestra teléfono y Facebook; no se encontró una web propia inequívoca. No se confirmaron marcas atendidas, precios ni servicios vigentes.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-012","https://bo.todosnegocios.com/infinito-soluciones-inform%C3%A1ticas-2-2201930",""
"Revalidar","Dona Sô Restaurante","Restaurante / buffet","Brasil","—","+55 11 5506-4929 / +55 11 5102-3494","tel:+551155064929","São Paulo","América","Portugués","Carta de almuerzo y consultas; contacto en portugués.","Base 10/09: Web actual no confirmada; redes y directorios","Revisión del 10/09/2026: Dona Sô aparece como restaurante y buffet en Cidade Monções. Las fuentes consultadas muestran atención de almuerzo, entrega y reseñas; el directorio trata el antiguo dominio como histórico. No se auditó una web propia actual. Las opiniones no prueban presupuesto ni interés en contratar.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-027","https://restaurantguru.com/Dona-So-Sao-Paulo","https://br.todosnegocios.com/pt/dona-s%C3%B4-restaurante-11-5506-4929"
"Revalidar","Levels Restaurante","Restaurante / bar","Brasil","—","+55 11 3167-7773 / +55 11 91346-4100","tel:+551131677773","São Paulo","América","Portugués","Validar operación antes de proponer reservas.","Base 10/09: Dominio histórico; operación por validar","Revisión del 10/09/2026: Levels Restaurante figura en Rua Dr. Mário Ferraz. Las referencias editoriales encontradas son antiguas y el directorio lista un dominio histórico. No se pudo confirmar una web vigente ni operación reciente del mismo negocio. No debe describirse como abierto con certeza.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-028","https://br.todosnegocios.com/pt/levels-restaurante-11-3167-7773",""
"Revalidar","Bodyworks By Brian J Hoffman","Taller de carrocería","Canadá","—","+1 519-837-3170","tel:+15198373170","Guelph/Eramosa, Ontario","América","Inglés","Galería de carrocería y solicitud con fotos.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: El directorio del condado de Wellington confirma Bodyworks By Brian J Hoffman, el teléfono y la actividad de carrocería/pintura. La dirección es más precisa que la referencia postal de la primera lista. No encontré una web propia inequívoca; las reseñas antiguas no bastan para afirmar ausencia actual.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-030","https://www.wellington.ca/business-development/business-directory/bodyworks-brian-j-hoffman","https://www.yellowpages.ca/bus/Ontario/Guelph/Bodyworks-By-Brian-J-Hoffman/212034.html"
"Revalidar","Mike The Electrician Guy","Electricista / reformas","Canadá","—","+1 647-568-4800","tel:+16475684800","Toronto / GTA","América","Inglés","Servicios y presupuesto, solo si busca más trabajos.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: Mike The Electrician Guy aparece con teléfono y área de servicio en Toronto/GTA. Una reseña de 2024 menciona que no tenía web; no es evidencia reciente en septiembre de 2026. La búsqueda no encontró una web propia clara, pero debe preguntarse antes de ofrecer crearla.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-029","https://www.canpages.ca/page/ON/mike-the-electrician-guy/104333267","https://www.yellowpages.ca/bus/Canada/Mike-The-Electrician-Guy/104333267.html"
"Revalidar","Gimnasio Club Free Sport","Gimnasio","Chile","gimnasio.freesport@gmail.com","+56 9 6271 7988","mailto:gimnasio.freesport@gmail.com","San Miguel","América","Español","Planes y consulta de inscripción para el gimnasio.","Base 10/09: No encontré web propia inequívoca","Revisión del 10/09/2026: El perfil de Gimnasio Club Free Sport publica dirección en Gran Avenida, contacto y un horario amplio, con Facebook como presencia principal encontrada. No se revisó una web propia ni se confirmó que planes y clases sigan iguales.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-007","https://cl.todosnegocios.com/gimnasio-club-free-sport-9-6271-7988",""
"Revalidar","Niñolandia","Juguetería","Colombia","supermarketninolandia@hotmail.com","+57 604 512 1421","mailto:supermarketninolandia@hotmail.com","Medellín","América","Español","Catálogo de juguetes por edad, empezando pequeño.","Base 10/09: Dominio anterior citado; estado no confirmado","Revisión del 10/09/2026: Niñolandia aparece como juguetería en Tenerife 45A-33, Medellín, en varias fuentes. El directorio referencia ninolandia.co como histórico; no pude inspeccionar ese dominio. La búsqueda no permite afirmar que hoy carece de toda web. No se confirmó un WhatsApp oficial.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-015","https://directoriomedellin.com.co/medellin/comercio/ninolandia/","https://co.todosnegocios.com/ni%C3%B1olandia"
"Revalidar","Paellas a Domicilio Medellín","Comida a domicilio","Colombia","paellasadomiciliomedellin@gmail.com","+57 315 4396749","mailto:paellasadomiciliomedellin@gmail.com","Medellín","América","Español","Validar actividad; luego, pedidos por fecha y personas.","Dominio histórico; actividad actual por confirmar.","El directorio publica email y móvil, y referencia paellasadomiciliomedellin.com como histórico. Confirmar que siga recibiendo pedidos.","Directorio consultado","2026-09-23","No contactado","","","","GL-016","https://co.todosnegocios.com/paellas-a-domicilio-medell%C3%ADn-315-4396749",""
"Revalidar","Cyber Bodega","Comercio / servicios; confirmar especialidad","Costa Rica","—","+506 2290-3350","tel:+50622903350","San José","América","Español","Validar rubro antes de ofrecer una solución.","Base 10/09: Sin web confirmada; rubro por precisar","Revisión del 10/09/2026: Cyber Bodega figura en San José, pero el directorio mezcla categorías de comercio y servicios. No hay base suficiente para presentarlo como una tienda exclusivamente de electrónica. No se identificó una web propia inequívoca ni una oferta actual clara.","Base anterior: revalidar","2026-09-10","No contactado","","","","GL-020","https://es.cybo.com/CR-biz/cyber-bodega",""
